feature,mean_abs_shap,group
TFIDF_SVD_2,0.37689018,TF-IDF/SVD lexical semantics
TFIDF_SVD_40,0.29803017,TF-IDF/SVD lexical semantics
TFIDF_SVD_3,0.24740152,TF-IDF/SVD lexical semantics
TFIDF_SVD_37,0.23233761,TF-IDF/SVD lexical semantics
MiniLM_emb_263,0.22512998,MiniLM semantic embedding
initial_priority_is_unknown,0.13084908,Initial-priority features
sig_crash,0.1275284,GraphLens impact signals
MiniLM_emb_48,0.12275554,MiniLM semantic embedding
TFIDF_SVD_4,0.12088246,TF-IDF/SVD lexical semantics
TFIDF_SVD_11,0.118902095,TF-IDF/SVD lexical semantics
TFIDF_SVD_52,0.10275979,TF-IDF/SVD lexical semantics
TFIDF_SVD_5,0.10197519,TF-IDF/SVD lexical semantics
MiniLM_emb_147,0.10049742,MiniLM semantic embedding
MiniLM_emb_77,0.09643704,MiniLM semantic embedding
initial_priority_is_unset,0.08792636,Initial-priority features
MiniLM_emb_306,0.08007211,MiniLM semantic embedding
MiniLM_emb_150,0.07930195,MiniLM semantic embedding
MiniLM_emb_148,0.07667368,MiniLM semantic embedding
TFIDF_SVD_28,0.07252225,TF-IDF/SVD lexical semantics
MiniLM_emb_130,0.07059998,MiniLM semantic embedding
MiniLM_emb_92,0.06979266,MiniLM semantic embedding
MiniLM_emb_126,0.0675952,MiniLM semantic embedding
TFIDF_SVD_17,0.06437849,TF-IDF/SVD lexical semantics
MiniLM_emb_368,0.063315526,MiniLM semantic embedding
TFIDF_SVD_145,0.06218602,TF-IDF/SVD lexical semantics
MiniLM_emb_344,0.060021438,MiniLM semantic embedding
TFIDF_SVD_131,0.058550615,TF-IDF/SVD lexical semantics
MiniLM_emb_181,0.058528524,MiniLM semantic embedding
MiniLM_emb_314,0.058173653,MiniLM semantic embedding
MiniLM_emb_370,0.056814134,MiniLM semantic embedding
sig_attachment,0.05648652,GraphLens impact signals
MiniLM_emb_320,0.05607169,MiniLM semantic embedding
TFIDF_SVD_63,0.054292846,TF-IDF/SVD lexical semantics
TFIDF_SVD_15,0.05426396,TF-IDF/SVD lexical semantics
MiniLM_emb_16,0.054207228,MiniLM semantic embedding
MiniLM_emb_32,0.053405866,MiniLM semantic embedding
MiniLM_emb_292,0.051960513,MiniLM semantic embedding
MiniLM_emb_332,0.051484875,MiniLM semantic embedding
MiniLM_emb_321,0.05138209,MiniLM semantic embedding
TFIDF_SVD_110,0.051153265,TF-IDF/SVD lexical semantics
MiniLM_emb_46,0.050551947,MiniLM semantic embedding
MiniLM_emb_103,0.05047099,MiniLM semantic embedding
TFIDF_SVD_181,0.05011841,TF-IDF/SVD lexical semantics
TFIDF_SVD_35,0.049747422,TF-IDF/SVD lexical semantics
TFIDF_SVD_227,0.049696226,TF-IDF/SVD lexical semantics
TFIDF_SVD_21,0.049578305,TF-IDF/SVD lexical semantics
MiniLM_emb_43,0.049312383,MiniLM semantic embedding
MiniLM_emb_247,0.04822925,MiniLM semantic embedding
MiniLM_emb_359,0.047686774,MiniLM semantic embedding
MiniLM_emb_120,0.04643593,MiniLM semantic embedding
MiniLM_emb_91,0.045234267,MiniLM semantic embedding
